Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Instagram_username,Political_party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,960396814456426496,male,United States of America,,Republican Party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,960396814456426496,male,United States of America,,American Nazi Party
Arthur J. Jones,artjonescongres,2018-02-04T00:00:00Z,960396814456426496,male,United States of America,,Populist Party
Arthur Purves,votepurves,2011-01-22T00:00:00Z,241674047,male,Germany,,Republican Party
Artur Davis,ArturDavis,2009-01-28T00:00:00Z,19677673,male,United States of America,,Republican Party
Artur Davis,ArturDavis,2009-01-28T00:00:00Z,19677673,male,United States of America,,Democratic Party
Arturs Krišjānis Kariņš,krisjaniskarins,2009-12-28T00:00:00Z,99914275,male,United States of America,,Unity
Asa Hutchinson,AsaHutchinson,2011-03-21T00:00:00Z,269992801,male,United States of America,govasahutchinson,Republican Party
Ash Kalra,Ash_Kalra,,,male,Canada,ash_kalra,California Democratic Party
Ashley Hinson,hinsonashley,2008-12-01T00:00:00Z,18189966,female,United States of America,ahinsonwbal,Republican Party of Iowa
Ashley Hinson,hinsonashley,2008-12-17T00:00:00Z,18189966,female,United States of America,ahinsonwbal,Republican Party of Iowa
Augustus Sol Invictus,EmperorInvictus,2015-05-18T00:00:00Z,3219461544,male,United States of America,thewizardofthorntonpark,Libertarian Party
Aumua Amata,amata96799,2009-01-24T00:00:00Z,19447958,female,United States of America,,Republican Party
Aumua Amata,amata96799,2015-02-09T00:00:00Z,3026622545,female,United States of America,,Republican Party
Aumua Amata,RepAmata,2009-01-24T00:00:00Z,19447958,female,United States of America,,Republican Party
Aumua Amata,RepAmata,2015-02-09T00:00:00Z,3026622545,female,United States of America,,Republican Party
Austin Petersen,AP4Liberty,,,male,United States of America,ap4liberty,Republican Party
Austin Petersen,the_producer14,,,male,United States of America,ap4liberty,Republican Party
Austin Petersen,AP4Liberty,2015-12-31T00:00:00Z,4686170306,male,United States of America,ap4liberty,Republican Party
Austin Petersen,the_producer14,2015-12-31T00:00:00Z,4686170306,male,United States of America,ap4liberty,Republican Party
Austin Petersen,AP4Liberty,,,male,United States of America,ap4liberty,Libertarian Party
Austin Petersen,the_producer14,,,male,United States of America,ap4liberty,Libertarian Party
Austin Petersen,AP4Liberty,2015-12-31T00:00:00Z,4686170306,male,United States of America,ap4liberty,Libertarian Party
Austin Petersen,the_producer14,2015-12-31T00:00:00Z,4686170306,male,United States of America,ap4liberty,Libertarian Party
Austin Scott,AustinScottGA08,2011-01-06T00:00:00Z,234797704,male,United States of America,,Republican Party
Ayaan Hirsi Ali,Ayaan,2008-08-20T00:00:00Z,15912890,female,Somalia,ayaanhirsiali,People's Party for Freedom and Democracy
Ayanna Pressley,AyannaPressley,2019-01-02T00:00:00Z,1080584229510172678,female,United States of America,ayannapressley,Democratic Party
Ayanna Pressley,RepPressley,2019-01-02T00:00:00Z,1080584229510172678,female,United States of America,ayannapressley,Democratic Party
Ayanna Pressley,AyannaPressley,2009-04-14T00:00:00Z,31013444,female,United States of America,ayannapressley,Democratic Party
Ayanna Pressley,RepPressley,2009-04-14T00:00:00Z,31013444,female,United States of America,ayannapressley,Democratic Party
Barack Obama,BarackObama,2013-06-01T00:00:00Z,822215679726100480,male,United States of America,barackobama,Democratic Party
Barack Obama,BarackObama,2013-06-21T00:00:00Z,1536791610,male,United States of America,barackobama,Democratic Party
Barack Obama,BarackObama,2017-01-20T00:00:00Z,1536791610,male,United States of America,barackobama,Democratic Party
Barack Obama,BarackObama,2007-03-05T00:00:00Z,813286,male,United States of America,barackobama,Democratic Party
Barbara Boxer,Barbara_Boxer,,,female,United States of America,senatorboxer,Democratic Party
Barbara Buono,BarbaraBuono,,,female,United States of America,,Democratic Party
Barbara Cegavske,VoteBarbara,2016-04-20T00:00:00Z,722853818682048513,female,United States of America,,Republican Party
Barbara Comstock,RepComstock,2014-12-20T00:00:00Z,2933760046,female,United States of America,repbarbaracomstock,Republican Party
Barbara Ehrenreich,B_Ehrenreich,2011-10-05T00:00:00Z,385642004,female,United States of America,,
Barbara L'Italien,teambarbara,2010-09-02T00:00:00Z,186281365,female,United States of America,,Democratic Party
Barbara Lee,repbarbaralee,2011-02-07T00:00:00Z,248735463,female,United States of America,repbarbaralee,Democratic Party
Barbara Mikulski,senatorbarb,2010-04-12T00:00:00Z,132278386,female,United States of America,,Democratic Party
Barney Frank,barneyfrank,2013-07-22T00:00:00Z,1614054846,male,United States of America,,Democratic Party
Barry Finegold,Barry_Finegold,,,male,United States of America,,Democratic Party
Barry Knight,BarryKnight81,2015-02-20T00:00:00Z,3047585753,male,United States of America,,Republican Party
Barry Loudermilk,RepLoudermilk,2014-12-10T00:00:00Z,2914163523,male,United States of America,reploudermilk,Republican Party
Barry McCaffrey,mccaffreyr3,2017-04-29T00:00:00Z,858466264875900929,male,United States of America,,
Bart Stupak,RealBartStupak,2017-07-10T00:00:00Z,884486017692180481,male,United States of America,,Democratic Party
Baruch Marzel,marzel_ba,,,male,United States of America,,Otzma Yehudit
Baruch Marzel,marzel_ba,,,male,United States of America,,Kach and Kahane Chai
Baruch Marzel,marzel_ba,,,male,United States of America,,Jewish National Front
Ben Barnes,benbarnes,2014-12-05T00:00:00Z,2920014210,male,United States of America,,Democratic Party
Ben Bernanke,BenBernanke,2009-06-26T00:00:00Z,51205137,male,United States of America,,Republican Party
Ben Cardin,SenatorCardin,2010-01-27T00:00:00Z,109071031,male,United States of America,senatorcardin,Democratic Party
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,Republican Party
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,Republican Party
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,Republican Party
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,Republican Party
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,Democratic Party
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,Democratic Party
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,Democratic Party
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,Democratic Party
Ben Carson,RealBenCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,independent politician
Ben Carson,SecretaryCarson,2013-02-01T00:00:00Z,1180379185,male,United States of America,realbencarson,independent politician
Ben Carson,RealBenCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,independent politician
Ben Carson,SecretaryCarson,2017-02-01T00:00:00Z,828613457020870657,male,United States of America,realbencarson,independent politician
Ben Cline,Cline4Virginia,2009-05-15T00:00:00Z,40264497,male,United States of America,,Republican Party
Ben McAdams,RepBenMcAdams,2010-09-28T00:00:00Z,196362083,male,United States of America,repbenmcadams,Democratic Party
Ben McAdams,RepBenMcAdams,,,male,United States of America,repbenmcadams,Democratic Party
Ben McAdams,RepBenMcAdams,2010-09-28T00:00:00Z,196362083,male,United States of America,repbenmcadams,Utah Democratic Party
Ben McAdams,RepBenMcAdams,,,male,United States of America,repbenmcadams,Utah Democratic Party
Ben R. Luján,repbenraylujan,2009-01-22T00:00:00Z,19318314,male,United States of America,repbenraylujan,Democratic Party
Ben Sasse,SenSasse,2015-01-05T00:00:00Z,2962923040,male,United States of America,senatorsasse,Republican Party
Bennie Thompson,BennieGThompson,2009-10-14T00:00:00Z,82453460,male,United States of America,benniegthompson,Democratic Party
Bernard C. Young,mayorbcyoung,,,male,United States of America,mayorbcyoung,Democratic Party
Bernie Hunhoff,berniehunhoff,2011-01-09T00:00:00Z,236273572,male,United States of America,,Democratic Party
Bernie Sanders,BernieSanders,2010-11-17T00:00:00Z,216776631,male,United States of America,berniesanders,Democratic Party
Bernie Sanders,BernieSanders,2009-04-07T00:00:00Z,29442313,male,United States of America,berniesanders,Democratic Party
Bernie Sanders,BernieSanders,2010-11-17T00:00:00Z,216776631,male,United States of America,berniesanders,independent politician
Bernie Sanders,BernieSanders,2009-04-07T00:00:00Z,29442313,male,United States of America,berniesanders,independent politician
Bernie Sanders,BernieSanders,2010-11-17T00:00:00Z,216776631,male,United States of America,berniesanders,Liberty Union Party
Bernie Sanders,BernieSanders,2009-04-07T00:00:00Z,29442313,male,United States of America,berniesanders,Liberty Union Party
Beth Van Duyne,Bethvanduyne,2012-02-11T00:00:00Z,489856457,female,United States of America,bethvanduynetx,Republican Party
Beto O'Rourke,BetoORourke,2011-07-26T00:00:00Z,342863309,male,United States of America,betoorourke,Democratic Party
Beto O'Rourke,BetoORourke,2013-01-30T00:00:00Z,1134292500,male,United States of America,betoorourke,Democratic Party
Beto O'Rourke,RepBetoORourke,2011-07-26T00:00:00Z,342863309,male,United States of America,betoorourke,Democratic Party
Beto O'Rourke,RepBetoORourke,2013-01-30T00:00:00Z,1134292500,male,United States of America,betoorourke,Democratic Party
Betsy DeVos,BetsyDeVos,2012-06-04T00:00:00Z,599530439,female,United States of America,,Republican Party
Betsy DeVos,BetsyDeVos,2012-06-04T00:00:00Z,599530439,female,United States of America,,Michigan Republican Party
Betty McCollum,BettyMcCollum04,2012-03-06T00:00:00Z,516880804,female,United States of America,repbettymccollum,Democratic Party
Betty McCollum,BettyMcCollum04,2010-07-08T00:00:00Z,164414525,female,United States of America,repbettymccollum,Democratic Party
Betty McCollum,BettyMcCollum04,2012-03-06T00:00:00Z,516880804,female,United States of America,repbettymccollum,Minnesota Democratic–Farmer–Labor Party
Betty McCollum,BettyMcCollum04,2010-07-08T00:00:00Z,164414525,female,United States of America,repbettymccollum,Minnesota Democratic–Farmer–Labor Party
Betty McCollum,VoteBetty,2012-03-06T00:00:00Z,516880804,female,United States of America,repbettymccollum,Democratic Party
Betty McCollum,VoteBetty,2010-07-08T00:00:00Z,164414525,female,United States of America,repbettymccollum,Democratic Party
Betty McCollum,VoteBetty,2012-03-06T00:00:00Z,516880804,female,United States of America,repbettymccollum,Minnesota Democratic–Farmer–Labor Party
Betty McCollum,VoteBetty,2010-07-08T00:00:00Z,164414525,female,United States of America,repbettymccollum,Minnesota Democratic–Farmer–Labor Party
Betty T. Yee,BettyYeeforCA,2011-11-20T00:00:00Z,417582683,female,United States of America,bettyyeeforca,Democratic Party
Bibiana Boerio,Boerio4Congress,2018-04-01T00:00:00Z,980249711755104256,female,United States of America,,Democratic Party
Bill Browder,Billbrowder,2009-04-08T00:00:00Z,29769998,male,United States of America,,
Bill Cassidy,BillCassidy,2014-05-06T00:00:00Z,2479160868,male,United States of America,,Republican Party
Bill Cassidy,BillCassidy,2009-07-10T00:00:00Z,55677432,male,United States of America,,Republican Party
Bill Cassidy,SenatorCassidy,2014-05-06T00:00:00Z,2479160868,male,United States of America,,Republican Party
Bill Cassidy,SenatorCassidy,2009-07-10T00:00:00Z,55677432,male,United States of America,,Republican Party
Bill Clinton,BillClinton,2013-04-05T00:00:00Z,1330457336,male,United States of America,wjclibrary42,Democratic Party
